id,name,price,category_id
147,Football,19.4,15
148,Golf Ball,11.19,15
149,Iron Golf,50.2,15
150,Metal Baseball Bat,30.85,15
151,Tennis Ball,8.24,15
152,Tennis Racket,55.14,15
153,Volleyball,12.67,15
154,Black Sun Glasses,32.21,16
155,Classic Sun Glasses,24.66,16
156,Green and Black Glasses,35.32,16
157,Party Glasses,20.68,16
158,Sunglasses,25.05,16
159,iPad Mini 2021 Starlight,505.3,17
160,Samsung Galaxy Tab S8 Plus Grey,605.06,17
161,Samsung Galaxy Tab White,341.46,17
162,Blue Frock,32.95,18
163,Girl Summer Dress,20.2,18
164,Gray Dress,40.56,18
165,Short Frock,28.72,18
166,Tartan Dress,39.01,18
167,300 Touring,29358.46,19
168,Charger SXT RWD,36536.77,19
169,Dodge Hornet GT Plus,25178.29,19
170,Durango SXT RWD,36597.01,19
171,Pacifica Touring,37306.01,19
172,Blue Women's Handbag,54.27,20
173,Heshe Women's Leather Bag,138.31,20
174,Prada Women Bag,679.56,20
175,White Faux Leather Backpack,45.49,20
176,Women Handbag Black,60.1,20
177,Black Women's Gown,127.56,21
178,Corset Leather With Skirt,94.92,21
179,Corset With Black Skirt,84.24,21
180,Dress Pea,53.13,21
181,Marni Red & Black Suit,201.66,21
182,Green Crystal Earring,33.23,22
183,Green Oval Earring,29.4,22
184,Tropical Earring,19.62,22
185,Black & Brown Slipper,20.96,23
186,Calvin Klein Heel Shoes,82.76,23
187,Golden Shoes Woman,57.47,23
188,Pampi Shoes,30.43,23
189,Red Shoes,35.05,23
190,IWC Ingenieur Automatic Steel,5293.46,24
191,Rolex Cellini Moonphase,16845.01,24
192,Rolex Datejust Women,11234.07,24
193,Watch Gold for Women,811.96,24
194,Women's Wrist Watch,151.19,24
